"Cbx5"
"Cdc25c"
"Smc4"
"Gtse1"
"Dlgap5"
"Ctcf"
"Cdca2"
"Kif20b"
"Cks2"
"Anp32e"
"Cdca3"
"Ckap2"
"Ncapd2"
"Ttk"
"G2e3"
"Cdk1"
"Hmgb2"
"Top2a"
"Gas2l3"
"Tacc3"
"Hmmr"
"Cdca8"
"Cdc20"
"Birc5"
"Ccnb2"
"Nek2"
"Psrc1"
"Ndc80"
"Anln"
"Hjurp"
"Rangap1"
"Cks1b"
"Ect2"
"Cenpf"
"Kif2c"
"Cenpe"
"Kif11"
"Cenpa"
"Kif23"
"Tpx2"
"Lbr"
"Aurkb"
"Ube2c"
"Mki67"
"Nusap1"
"Tubb4b"
"Jpt1"
"Bub1"
"Pimreg"
"Ckap2l"
"Aurka"
"Ckap5"
"Nuf2"
