gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gm40418,446.526188455782,-3.94599260343042,0.238533949375379,6.79091499579287e-63,1.63776496953537e-58
Gm29260,1837.67474782974,-3.22789369046237,0.209601269979228,7.71083935112193e-55,9.29811563155038e-51
Lama2,4269.83052839574,-1.89034287811868,0.128728485583096,3.37084944180146e-50,2.70982586626419e-46
Gm17750,367.161039017099,-1.893310111358,0.175553969779206,1.9204761696417e-28,1.15790309458122e-24
Gm13974,746.849107596223,-1.67335245599597,0.166719057417958,5.16877424808934e-25,2.49310657082341e-21
Gm28494,644.914306035014,-1.51702659160474,0.153113200595587,1.86442767916032e-24,7.49406705638491e-21
Olfr560,295.421082946544,-1.65795972026328,0.178862562391673,8.71426767684407e-22,3.00231419374926e-18
Gm11884,275.519546896993,-2.064125277436,0.231832886934571,2.56312731071228e-20,7.72686766905599e-17
Diaph3,845.949995946862,-1.42455354167772,0.166317325111929,5.11494527803185e-19,1.3706348363366e-15
Car4,2213.56978715442,0.843519445038865,0.10062892706197,2.59374392288136e-18,6.25533221881298e-15
Gm17917,46.0050365720133,-3.75782753556993,0.451702536972838,7.02547328387244e-18,1.54030308351956e-14
Stat4,503.352303385341,-1.40882615758962,0.171893644720683,1.18684749793935e-17,2.20178470060025e-14
Gm13211,493.15396087288,-1.30056351512909,0.158568111894358,1.15009097803552e-17,2.20178470060025e-14
Gm41311,94.0073211941516,-2.64895353879761,0.328199729324709,3.07177331409605e-17,5.29156835828961e-14
3110099E03Rik,39.0015105851672,-4.62379745272853,0.565771049886977,5.33289503626484e-17,8.57422863930662e-14
Tll1,1439.74675690353,-1.38561777658367,0.175815118561964,1.54699269941284e-16,2.33180143323371e-13
Gm13561,1437.37362466852,-1.25914848868623,0.164661661587273,9.7231603739299e-16,1.37937328669451e-12
9130227L01Rik,415.440669321236,-1.37390765080363,0.180205116035015,1.16663349747781e-15,1.56309444770403e-12
4930579H20Rik,48.4698304815687,-2.58285975748302,0.338292638667327,1.30333791173716e-15,1.65434739038763e-12
Gm11820,92.1585890629634,-1.96079616930194,0.258609670648924,1.57543478431694e-15,1.89973803466858e-12
Tnfrsf8,168.302161807158,-1.47723763642534,0.195800867445687,2.03541663785367e-15,2.33753062167224e-12
Olfr78,502.753206224783,-1.15214277737854,0.155055660029748,4.62723373896762e-15,5.07249982194009e-12
Adra1a,3192.07747529923,-0.908622351198524,0.127547584312848,5.03903132874688e-14,5.28375298066907e-11
Gm31135,1022.76424134113,-0.96421987860134,0.136714565215581,8.46567652243294e-14,8.50694669547980e-11
ENSMUSG00000120451,963.205328035697,-1.00198311969777,0.142267506777048,9.02309535501661e-14,8.70439962707742e-11
Vrk2,1710.41879781243,-1.05613132943345,0.151430576028805,1.46913329170458e-13,1.3627341383092e-10
Gm27243,222.894212646213,-1.36141488940032,0.201006971455654,6.18594421226466e-13,5.32808630597095e-10
Gm44169,84.4838871852621,-1.8604125523455,0.274583531173738,6.01997409803856e-13,5.32808630597095e-10
Tec,280.670222385684,-1.6313111474708,0.242030552722448,7.44149144542815e-13,6.18849824791002e-10
Evc,401.012935523625,-0.979646694231745,0.153769509764284,9.12413443444492e-12,7.33489167185027e-09
Gm30731,230.779333099107,-1.26680698407456,0.199282472729507,9.84392895525479e-12,7.65825918109289e-09
Tcap,345.513328999592,0.997834388743467,0.157810467399375,1.24095025209312e-11,9.35249913429052e-09
1700023F02Rik,295.450916456058,0.987036774468019,0.163891004571498,8.30822558300473e-11,6.04858978820492e-08
