"","B cells","CDIC-A","CDIC-B","CDPC","Connecting tubule cells","DCT","Dendritic cells","Endothelial cells","Mesenchymal cells","PCT","PST","Podocytes","Proximal tubule cells","T cells","T regulatory cells","Thick ascending limb (LOH)","Thin ascending limb (LOH)","Thin descending limb (LOH)"
"0610009B22Rik",0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,2,0,0
"0610010K14Rik",1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1
"0610030E20Rik",1,2,2,2,1,3,1,3,3,3,3,2,3,1,1,3,1,1
"0610040J01Rik",0,0,0,1,0,2,0,1,1,2,2,0,1,0,0,2,0,1
"1110004F10Rik",3,4,5,6,0,5,4,5,6,7,6,3,5,2,0,4,4,3
"1110017D15Rik",0,1,1,0,0,1,0,2,3,3,2,0,1,0,0,2,0,0
"1110032A03Rik",2,3,3,8,3,7,5,9,10,9,10,4,7,3,2,8,4,5
"1110038F14Rik",1,3,2,4,1,4,3,4,4,3,4,3,4,2,0,3,3,2
"1110059E24Rik",2,1,2,3,1,4,2,2,3,3,3,1,3,1,0,3,2,0
"1110059G10Rik",0,2,2,2,3,2,2,3,2,3,3,1,3,0,0,3,2,3
"1110065P20Rik",0,1,0,2,1,1,0,2,2,1,1,0,2,0,1,1,0,1
"1190007I07Rik",1,2,2,3,1,3,2,3,2,3,4,1,4,2,1,4,1,2
"1500009L16Rik",0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
"1500011B03Rik",0,1,0,3,0,2,1,2,1,2,1,0,1,0,0,3,0,0
"1520401A03Rik",1,1,0,0,0,1,0,0,3,2,1,1,3,0,0,3,0,0
"1600012H06Rik",0,0,0,0,1,2,1,1,1,0,1,0,1,0,0,2,0,0
"1600014C10Rik",0,0,0,0,0,2,0,2,2,2,2,0,3,0,0,1,1,0
"1700001C19Rik",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
"1700001J03Rik",1,1,2,2,1,2,1,2,2,4,5,0,3,1,0,3,2,1
"1700001K19Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700001L19Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1700001O22Rik",1,1,0,5,0,2,2,5,2,2,3,0,3,0,0,2,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"1700003E16Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1700003F12Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
"1700010I14Rik",1,0,0,1,0,2,2,3,2,5,3,1,6,1,0,4,2,0
"1700011L22Rik",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",3,4,3,4,3,4,4,4,5,4,4,4,4,2,2,4,4,4
"1700017B05Rik",0,0,0,1,0,1,0,0,1,2,2,1,1,0,0,1,1,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
